gen,nevals,avg1,avg2,std1,std2,min1,min2,max1,max2
0,20,0.8116499999999999,5.7,0.1999163012362924,1.9261360284258227,0.467,2.0,1.0,10.0
1,14,0.9742000000000001,6.35,0.08095220812306479,0.9630680142129112,0.667,5.0,1.0,9.0
2,17,1.0,6.05,0.0,0.6689544080129827,1.0,5.0,1.0,7.0
3,11,1.0,5.5,0.0,0.5916079783099616,1.0,5.0,1.0,7.0
4,13,1.0,5.1,0.0,0.3000000000000001,1.0,5.0,1.0,6.0
5,6,1.0,5.0,0.0,0.0,1.0,5.0,1.0,5.0
6,11,0.9916499999999999,5.0,0.036396806178564625,0.0,0.833,5.0,1.0,5.0
7,9,1.0,5.0,0.0,0.0,1.0,5.0,1.0,5.0
8,8,1.0,4.95,0.0,0.38405728739343037,1.0,4.0,1.0,6.0
9,8,0.9833500000000001,4.85,0.07257566740995218,0.4769696007084727,0.667,4.0,1.0,6.0
10,9,1.0,4.55,0.0,0.49749371855331004,1.0,4.0,1.0,5.0
11,14,1.0,4.2,0.0,0.6782329983125273,1.0,4.0,1.0,7.0
12,11,1.0,4.05,0.0,0.2179449471770336,1.0,4.0,1.0,5.0
13,11,1.0,4.0,0.0,0.31622776601683794,1.0,3.0,1.0,5.0
14,8,1.0,3.65,0.0,0.4769696007084729,1.0,3.0,1.0,4.0
15,13,1.0,3.3,0.0,0.45825756949558405,1.0,3.0,1.0,4.0
16,9,1.0,3.15,0.0,0.47696960070847283,1.0,3.0,1.0,5.0
17,15,0.9741500000000001,3.0,0.11267753769052644,0.31622776601683794,0.483,2.0,1.0,4.0
18,9,1.0,3.0,0.0,0.0,1.0,3.0,1.0,3.0
19,10,1.0,3.0,0.0,0.0,1.0,3.0,1.0,3.0
20,10,1.0,3.15,0.0,0.47696960070847283,1.0,3.0,1.0,5.0
