sensor1,sensor2,sensor3,sensor4,sensor5,label
0.5156761,0.5075988,0.5346334,0.7126392,0.530413,0
0.6114269,0.5636132,0.5346334,0.7126392,0.530413,0
0.5156761,0.5075988,0.5346334,0.726009,0.530413,0
0.5156761,0.5075988,0.5346334,0.7574379,0.530413,0
0.5156761,0.5075988,0.5346334,0.7574379,0.530413,0
0.5156761,0.5075988,0.5346334,0.7574379,0.530413,0
0.5156761,0.5075988,0.5346334,0.7574379,0.530413,0
0.5156761,0.5075988,0.5346334,0.7126392,0.530413,0
0.5156761,0.5075988,0.5346334,0.7126392,0.530413,0
0.5156761,0.5075988,0.5346334,0.7574379,0.530413,0
0.6114755,0.6054748,0.5346334,0.7574379,0.530413,1
0.6114755,0.6054748,0.5346334,0.7574379,0.530413,1
0.6114755,0.6054748,0.5346334,0.7574379,0.530413,1
0.6114755,0.6054748,0.5346334,0.7574379,0.530413,1
0.6114755,0.6054748,0.5346334,0.7574379,0.530413,1
0.6114755,0.6054748,0.5346334,0.7574379,0.530413,1
0.6114755,0.6054748,0.5346334,0.7574379,0.530413,1
0.6114755,0.6054748,0.5346334,0.7574379,0.530413,1
0.6114755,0.6054748,0.5346334,0.7574379,0.530413,1
0.6114755,0.6054748,0.5346334,0.7574379,0.530413,1
0.5156761,0.5075988,0.5289778,0.7574379,0.530413,2
0.5156761,0.5077098,0.4843572,0.7574379,0.530413,2
0.5156761,0.5075988,0.4121779,0.7574379,0.530413,2
0.5156761,0.5075988,0.4166342,0.7574379,0.530413,2
0.5156761,0.5075988,0.41774,0.7574379,0.530413,2
0.5156761,0.5077098,0.5346334,0.7574379,0.530413,2
0.5156761,0.5075988,0.5346334,0.7574379,0.530413,2
0.5156761,0.5162202,0.4286732,0.7574379,0.530413,2
0.5156761,0.5075988,0.5289778,0.7574379,0.530413,2
0.5156761,0.531541,0.5346334,0.7574379,0.530413,2
0.5156761,0.5075988,0.5346334,0.7574379,0.4073269,3
0.5156761,0.5075988,0.5346334,0.7574379,0.4073269,3
0.5768188,0.5075988,0.5346334,0.7574379,0.530413,3
0.5156761,0.5075988,0.5346334,0.7574379,0.4073269,3
0.5156761,0.5075988,0.5346334,0.7574379,0.530413,3
0.5156761,0.5075988,0.5346334,0.7574379,0.4139469,3
0.5156761,0.5075988,0.5346334,0.7574379,0.407852,3
0.5156761,0.5075988,0.5346334,0.7574379,0.530413,3
0.5156761,0.5075988,0.5346334,0.7574379,0.530413,3
0.5156761,0.5075988,0.5346334,0.7574379,0.4073269,3
0.6103989,0.5075988,0.4694602,0.7126392,0.530413,4
0.6112157,0.5075988,0.5346334,0.7126392,0.530413,4
0.6114755,0.5075988,0.4805607,0.7126392,0.530413,4
0.6114755,0.5075988,0.5346334,0.7356327,0.530413,4
0.6103989,0.5075988,0.5346334,0.7126392,0.530413,4
0.5632311,0.5075988,0.5346334,0.7126392,0.530413,4
0.6103989,0.5075988,0.5346334,0.7126392,0.530413,4
0.6103989,0.5075988,0.5346334,0.7126392,0.530413,4
0.6112157,0.5075988,0.5346334,0.7126392,0.530413,4
0.5632311,0.5075988,0.5346334,0.7126392,0.530413,4
0.5156761,0.5562267,0.5346334,0.7126392,0.530413,5
0.5156761,0.564109,0.5346334,0.7126392,0.5298125,5
0.5156761,0.5953804,0.5346334,0.7126392,0.4760036,5
0.5156761,0.5953804,0.5346334,0.7126392,0.530413,5
0.5156761,0.5562267,0.5346334,0.7126392,0.530413,5
0.5156761,0.564109,0.5346334,0.7126392,0.530413,5
0.5156761,0.5649785,0.5346334,0.7126392,0.530413,5
0.5156761,0.5562267,0.5346334,0.7126392,0.530413,5
0.5156761,0.5649785,0.5346334,0.7126392,0.530413,5
0.5156761,0.5562267,0.5346334,0.7126392,0.530413,5
