sensor1,sensor2,sensor3,label
0.5134148,0.7095203,0.6296015,0
0.5134148,0.7552072,0.5401655,0
0.5134148,0.7095203,0.5401655,0
0.4525442,0.7095203,0.5401655,0
0.5134148,0.7176855,0.5406449,0
0.3942911,0.7340426,0.6296015,0
0.5134148,0.7510846,0.5405183,0
0.5134148,0.7095203,0.5739332,0
0.5134148,0.7095203,0.5801095,0
0.5134148,0.749952,0.5401655,0
0.5134148,0.7552072,0.6296015,1
0.5134148,0.7552072,0.6296015,1
0.5134148,0.7552072,0.6296015,1
0.5134148,0.7552072,0.6296015,1
0.5134148,0.7552072,0.6296015,1
0.5134148,0.7552072,0.6296015,1
0.5134148,0.7552072,0.6296015,1
0.5134148,0.7552072,0.6296015,1
0.5134148,0.7552072,0.6296015,1
0.5134148,0.7552072,0.6296015,1
0.3833267,0.7552072,0.6296015,2
0.3833267,0.7127194,0.6296015,2
0.3833267,0.7095203,0.6296015,2
0.3841212,0.7552072,0.6296015,2
0.3833267,0.7110485,0.6296015,2
0.3833267,0.7340009,0.6296015,2
0.3833267,0.7552072,0.6296015,2
0.3901908,0.7095203,0.6296015,2
0.3833267,0.7552072,0.6296015,2
0.4334304,0.7428096,0.6296015,2
0.5134148,0.7552072,0.5401655,3
0.5134148,0.7552072,0.5401655,3
0.5134148,0.7552072,0.5401655,3
0.5134148,0.7127194,0.5401655,3
0.5134148,0.7552072,0.5401655,3
0.5134148,0.7552072,0.5401655,3
0.5134148,0.7552072,0.5401655,3
0.5134148,0.7552072,0.5401655,3
0.5134148,0.7552072,0.5401655,3
0.5134148,0.7552072,0.5401655,3
0.5134148,0.7095203,0.5401655,4
0.5134148,0.7095203,0.5401655,4
0.5134148,0.7095203,0.5401655,4
0.5134148,0.7095203,0.5401655,4
0.5134148,0.7095203,0.5401655,4
0.5134148,0.7095203,0.5401655,4
0.5134148,0.7095203,0.5401655,4
0.3833267,0.7095203,0.5401655,4
0.5134148,0.7095203,0.5401655,4
0.5134148,0.7095203,0.5401655,4
0.5134148,0.7095203,0.6153508,5
0.5134148,0.7095203,0.5515346,5
0.5134148,0.7095203,0.5515346,5
0.5134148,0.7095203,0.5537753,5
0.5134148,0.7095203,0.5505554,5
0.5134148,0.7095203,0.6191399,5
0.5134148,0.7095203,0.6191399,5
0.5134148,0.7095203,0.5919291,5
0.5134148,0.7095203,0.581077,5
0.5134148,0.7095203,0.5515346,5
